Node,Community,Connections
236,0,"0, 9, 58, 291, 293, 455, 992"
237,2,"112, 8, 4, 328, 411, 501, 708, 910"
238,2,"25, 158, 76, 317, 598"
239,1,"1, 102, 83, 246, 366, 662"
240,0,"26, 140, 10, 361, 471"
241,1,"185, 163, 61"
242,1,"56, 11, 73, 280, 491, 579, 664, 722, 783, 844"
243,0,"9, 22, 1, 660"
244,0,"48, 106, 222, 274, 292, 405, 674"
245,0,"100, 144, 195, 380, 741, 747"
246,2,"83, 239, 58, 366, 574, 596"
247,0,"201, 222, 43, 363, 452, 531, 552, 583"
248,2,"53, 4, 32, 434, 542"
249,2,"67, 11, 179, 260, 402, 424, 735, 756"
250,0,"160, 126, 205, 655, 673"
251,1,"145, 18, 131, 413, 561, 631, 830"
252,0,"11, 18, 139, 310, 535, 668"
253,2,"9, 226, 68, 322, 638, 677"
254,0,"11, 179, 124, 421, 534"
255,2,"1, 34, 139, 381, 606"
256,1,"227, 147, 125, 344, 367, 414, 564, 686, 726"
257,1,"178, 117, 86, 283, 902"
258,2,"219, 44, 29, 425, 532"
259,2,"48, 1, 22"
260,1,"59, 11, 249, 298, 402, 692, 703"
261,1,"25, 101, 27, 826"
262,1,"16, 4, 174, 318, 455, 930"
263,0,"104, 8, 170, 371"
264,2,"16, 58, 25, 303, 319, 341, 466, 497, 809, 890"
265,1,"48, 119, 58, 377, 421, 506, 658, 730, 880"
266,1,"10, 149, 26, 838"
267,1,"17, 221, 44, 314, 545, 802, 983"
268,2,"75, 37, 186"
269,0,"9, 49, 3, 271"
270,2,"113, 10, 53, 627"
271,1,"49, 269, 221, 555"
272,1,"64, 59, 53, 507, 729, 967"
273,1,"59, 110, 93, 283"
274,0,"116, 61, 244, 292, 506, 544"
275,0,"115, 153, 209, 487"
276,1,"73, 28, 11, 296, 426, 537, 762"
277,2,"48, 16, 5, 330, 818, 860"
278,1,"147, 4, 76, 305, 841, 969"
279,2,"8, 68, 104"
280,1,"16, 11, 242, 654"
281,2,"185, 29, 47, 468, 523, 601, 622"
282,2,"214, 202, 233, 407, 625, 703, 717, 904"
283,2,"257, 37, 273, 286, 782, 810, 956"
284,2,"154, 123, 53, 331, 416, 567, 590, 956"
285,0,"18, 43, 28, 490, 667"
286,2,"283, 145, 11, 668, 782, 792, 849, 935, 959, 998"
287,2,"16, 134, 154, 947"
288,2,"210, 152, 19, 332, 682"
289,0,"8, 77, 161, 350, 397, 517, 536, 551, 739"
290,0,"113, 66, 100, 572, 866, 984"
291,2,"0, 236, 196, 657, 718"
292,1,"244, 274, 166, 327, 406, 544, 561, 566, 817, 945, 950"
293,2,"123, 58, 236, 375, 547"
294,2,"50, 129, 230, 897, 979"
295,2,"48, 5, 141, 404"
296,1,"154, 276, 53, 771, 951"
297,0,"9, 183, 3, 835, 840, 858"
298,0,"179, 12, 260"
299,0,"10, 54, 95"
300,1,"40, 0, 9, 621, 886"
301,1,"8, 29, 1, 443, 615"
302,1,"0, 2, 37, 474, 607, 983"
303,1,"264, 34, 3, 907"
304,2,"144, 33, 54, 404, 466, 890"
305,1,"2, 3, 278, 508, 940"
306,2,"40, 71, 78, 424, 492, 509, 660, 909"
307,0,"64, 60, 48, 309, 323, 488, 504, 651, 943"
308,0,"0, 1, 13"
309,0,"48, 307, 222"
310,0,"100, 144, 252, 458, 764"
311,0,"17, 12, 10, 882, 995"
312,0,"136, 48, 123"
313,2,"20, 130, 37, 340, 378, 484, 661, 799, 970"
314,2,"1, 267, 221, 360, 392, 415, 439, 522, 646, 776, 944"
315,2,"56, 48, 102, 579, 652, 723"
316,1,"153, 113, 147, 462, 500"
317,1,"25, 45, 238, 900"
318,1,"136, 33, 262, 397, 398, 411, 413, 941"
319,2,"264, 10, 87, 422, 482, 496, 944"
320,2,"1, 180, 129, 691, 893"
321,1,"25, 30, 83, 410, 438, 571, 800"
322,1,"68, 253, 70, 457, 554"
323,1,"9, 60, 307, 446, 809, 866"
324,2,"73, 176, 100, 469"
325,1,"51, 34, 11, 664, 907"
326,1,"1, 195, 120, 991"
327,2,"96, 166, 292, 467"
328,1,"8, 115, 237, 612, 895, 910"
329,2,"89, 11, 18, 479, 742"
330,1,"80, 43, 277"
331,0,"9, 72, 284"
332,0,"288, 19, 123, 823"
333,1,"49, 214, 9, 872"
334,0,"72, 132, 48, 376, 442"
335,2,"18, 51, 227, 422, 712"
336,0,"34, 162, 35, 520"
337,0,"16, 10, 177, 423, 440, 524, 526, 528, 530"
338,2,"81, 97, 29, 499, 807"
339,1,"43, 179, 85"
340,2,"130, 313, 20, 484"
341,0,"25, 264, 20, 364"
342,0,"98, 68, 38"
343,2,"11, 147, 29, 739"
344,1,"256, 147, 29"
345,2,"9, 11, 103, 351, 753, 965"
346,2,"32, 24, 20, 425"
347,1,"33, 102, 22, 533, 913"
348,0,"41, 23, 127"
349,2,"0, 9, 196"
350,0,"8, 289, 58, 356, 517, 821, 829"
351,1,"345, 52, 32"
352,1,"137, 186, 58, 603, 694, 758, 914"
353,2,"48, 112, 137, 549, 875, 993"
354,0,"192, 108, 53, 503"
355,0,"16, 209, 108, 586"
356,0,"350, 90, 138"
357,1,"67, 147, 165, 538, 686, 985"
358,1,"23, 19, 41, 848"
359,2,"1, 109, 46, 716"
360,1,"16, 176, 314, 415, 451, 525, 634, 646, 999"
361,0,"240, 18, 8"
362,0,"49, 67, 99, 607, 618"
363,0,"247, 43, 201, 452, 798"
364,2,"341, 25, 13, 675"
365,0,"16, 1, 48, 412, 605"
366,0,"52, 246, 239"
367,0,"8, 90, 256, 726, 779"
368,1,"56, 49, 203, 487, 633"
369,1,"8, 202, 194, 376, 454"
370,2,"16, 99, 0, 429, 935"
371,0,"104, 263, 43, 382"
372,2,"8, 194, 1, 465, 785, 832, 833, 839, 843"
373,0,"123, 227, 106, 707, 931"
374,1,"81, 161, 12, 453"
375,2,"202, 293, 123"
376,2,"369, 8, 334"
377,2,"16, 48, 265, 381, 658"
378,1,"130, 88, 313, 387, 448, 589, 654, 661, 781, 787, 805"
379,0,"90, 138, 100, 399, 650, 664, 775, 805, 827, 990"
380,2,"0, 10, 245, 629, 902"
381,2,"377, 75, 255, 470, 886"
382,2,"371, 43, 67, 390, 473, 504, 624, 643, 988"
383,0,"0, 27, 133, 657"
384,1,"34, 35, 41, 464, 715, 721"
385,2,"202, 19, 64, 407, 871, 894"
386,0,"147, 61, 22, 647, 892"
387,0,"145, 378, 130, 476, 561"
388,1,"120, 115, 22, 639, 684, 911, 979"
389,0,"48, 74, 94, 412, 608, 731"
390,1,"19, 68, 382"
391,2,"153, 154, 18, 420, 917"
392,1,"314, 163, 19, 430, 432, 439, 585, 653, 752, 770"
393,1,"8, 25, 29, 604, 605, 685, 866"
394,2,"37, 90, 43, 498, 553, 565, 593, 716"
395,1,"49, 9, 33, 511, 669"
396,2,"16, 2, 120"
397,2,"136, 318, 289, 635"
398,0,"213, 202, 318"
399,2,"138, 100, 379, 805"
400,1,"32, 100, 19, 817"
401,2,"90, 116, 2, 470"
402,1,"249, 67, 260, 465, 558, 751"
403,1,"67, 174, 3"
404,0,"304, 150, 295"
405,1,"244, 48, 222, 512, 592, 727, 854"
406,2,"113, 10, 292, 602, 950"
407,1,"202, 385, 282, 426, 625, 894"
408,2,"10, 207, 53, 482, 496, 848"
409,0,"74, 18, 100, 559"
410,1,"25, 321, 172, 847, 942"
411,2,"96, 237, 318"
412,2,"48, 365, 389"
413,0,"33, 318, 251"
414,0,"256, 1, 7, 680, 736"
415,2,"360, 16, 314, 575"
416,0,"11, 53, 284, 421, 544, 567, 597, 846"
417,1,"1, 204, 10, 516, 609"
418,0,"0, 235, 99, 468, 806"
419,1,"112, 148, 92, 946"
420,2,"48, 18, 391, 519, 587, 917"
421,2,"416, 265, 254"
422,2,"10, 335, 319, 497, 580, 590"
423,2,"177, 32, 337, 704, 786"
424,0,"249, 306, 71, 909, 912"
425,0,"346, 258, 126, 532"
426,1,"113, 276, 407, 701"
427,0,"8, 94, 29, 568"
428,1,"10, 86, 151, 533, 774"
429,2,"16, 370, 228, 915, 936"
430,0,"392, 8, 190"
431,1,"65, 9, 30, 521, 859"
432,0,"392, 11, 221, 548, 585, 732, 967"
433,0,"81, 102, 121"
